Name,Wiktionary Name,Wiktionary Code (can be 2 or 3 digit),ISO 639-1,ISO 639-2/T,ISO 639-2/B,ISO 639-3
Abkhazian,Abkhaz,ab,ab,abk,abk,abk
Abkhaz,Abkhaz,ab,ab,abk,abk,abk
Afar,Afar,aa,aa,aar,aar,aar
Afrikaans,Afrikaans,af,af,afr,afr,afr
Akan,Akan,ak,ak,aka,aka,aka
Albanian,Albanian,sq,sq,sqi,alb,sqi
Amharic,Amharic,am,am,amh,amh,amh
Arabic,Arabic,ar,ar,ara,ara,ara
Aragonese,Aragonese,an,an,arg,arg,arg
Armenian,Armenian,hy,hy,hye,arm,hye
Assamese,Assamese,as,as,asm,asm,asm
Avaric,Avaric,av,av,ava,ava,ava
Avestan,Avestan,ae,ae,ave,ave,ave
Aymara,Aymara,ay,ay,aym,aym,aym
Azerbaijani,Azerbaijani,az,az,aze,aze,aze
Bambara,Bambara,bm,bm,bam,bam,bam
Bashkir,Bashkir,ba,ba,bak,bak,bak
Basque,Basque,eu,eu,eus,baq,eus
Belarusian,Belarusian,be,be,bel,bel,bel
Bengali,Bengali,bn,bn,ben,ben,ben
Bihari,Bihari,bh,bh,bih,bih,bih
Bislama,Bislama,bi,bi,bis,bis,bis
Bosnian,Serbo-Croatian,sh,bs,bos,bos,bos
Breton,Breton,br,br,bre,bre,bre
Bulgarian,Bulgarian,bg,bg,bul,bul,bul
Burmese,Burmese,my,my,mya,bur,mya
Catalan,Catalan,ca,ca,cat,cat,cat
Valencian,Catalan,ca,ca,cat,cat,cat
Chamorro,Chamorro,ch,ch,cha,cha,cha
Chechen,Chechen,ce,ce,che,che,che
Chewa,Chichewa,ny,ny,nya,nya,nya
Chichewa,Chichewa,ny,ny,nya,nya,nya
Nyanja,Chichewa,ny,ny,nya,nya,nya
Chinese,Chinese,zh,zh,zho,chi,zho
Chuvash,Chuvash,cv,cv,chv,chv,chv
Cornish,Cornish,kw,kw,cor,cor,cor
Corsican,Corsican,co,co,cos,cos,cos
Cree,Cree,cr,cr,cre,cre,cre
Croatian,Serbo-Croatian,sh,hr,hrv,hrv,hrv
Czech,Czech,cs,cs,ces,cze,ces
Danish,Danish,da,da,dan,dan,dan
Divehi,Dhivehi,dv,dv,div,div,div
Dhivehi,Dhivehi,dv,dv,div,div,div
Maldivian,Dhivehi,dv,dv,div,div,div
Dutch,Dutch,nl,nl,nld,dut,nld
Flemish,Dutch,nl,nl,nld,dut,nld
Dzongkha,Dzongkha,dz,dz,dzo,dzo,dzo
English,English,en,en,eng,eng,eng
Esperanto,Esperanto,eo,eo,epo,epo,epo
Estonian,Estonian,et,et,est,est,est
Ewe,Ewe,ee,ee,ewe,ewe,ewe
Faroese,Faroese,fo,fo,fao,fao,fao
Fijian,Fijian,fj,fj,fij,fij,fij
Finnish,Finnish,fi,fi,fin,fin,fin
French,French,fr,fr,fra,fre,fra
Fulah,Fulah,ff,ff,ful,ful,ful
Galician,Galician,gl,gl,glg,glg,glg
Georgian,Georgian,ka,ka,kat,geo,kat
German,German,de,de,deu,ger,deu
Greek,Greek,el,el,ell,gre,ell
Guarani,Guarani,gn,gn,grn,grn,grn
Gujarati,Gujarati,gu,gu,guj,guj,guj
Haitian,Haitian Creole,ht,ht,hat,hat,hat
Haitian Creole,Haitian Creole,ht,ht,hat,hat,hat
Hausa,Hausa,ha,ha,hau,hau,hau
Hebrew,Hebrew,he,he,heb,heb,heb
Herero,Herero,hz,hz,her,her,her
Hindi,Hindi,hi,hi,hin,hin,hin
Hiri Motu,Hiri Motu,ho,ho,hmo,hmo,hmo
Hungarian,Hungarian,hu,hu,hun,hun,hun
Interlingua,Interlingua,ia,ia,ina,ina,ina
Indonesian,Indonesian,id,id,ind,ind,ind
Interlingue,Interlingue,ie,ie,ile,ile,ile
Occidental,Interlingue,ie,ie,ile,ile,ile
Irish,Irish,ga,ga,gle,gle,gle
Igbo,Igbo,ig,ig,ibo,ibo,ibo
Inupiaq,Inupiaq,ik,ik,ipk,ipk,ipk
Ido,Ido,io,io,ido,ido,ido
Icelandic,Icelandic,is,is,isl,ice,isl
Italian,Italian,it,it,ita,ita,ita
Inuktitut,Inuktitut,iu,iu,iku,iku,iku
Japanese,Japanese,ja,ja,jpn,jpn,jpn
Javanese,Javanese,jv,jv,jav,jav,jav
Greenlandic,Greenlandic,kl,kl,kal,kal,kal
Kalaallisut,Greenlandic,kl,kl,kal,kal,kal
Kannada,Kannada,kn,kn,kan,kan,kan
Kanuri,Kanuri,kr,kr,kau,kau,kau
Kashmiri,Kashmiri,ks,ks,kas,kas,kas
Kazakh,Kazakh,kk,kk,kaz,kaz,kaz
Central Khmer,Khmer,km,km,khm,khm,khm
Khmer,Khmer,km,km,khm,khm,khm
Gikuyu,Kikuyu,ki,ki,kik,kik,kik
Kikuyu,Kikuyu,ki,ki,kik,kik,kik
Kinyarwanda,Kinyarwanda,rw,rw,kin,kin,kin
Kirghiz,Kyrgyz,ky,ky,kir,kir,kir
Kyrgyz,Kyrgyz,ky,ky,kir,kir,kir
Komi,Komi,kv,kv,kom,kom,kom
Kongo,Kongo,kg,kg,kon,kon,kon
Korean,Korean,ko,ko,kor,kor,kor
Kurdish,Kurdish,ku,ku,kur,kur,kur
Kuanyama,Kwanyama,kj,kj,kua,kua,kua
Kwanyama,Kwanyama,kj,kj,kua,kua,kua
Latin,Latin,la,la,lat,lat,lat
Letzeburgesch,Luxembourgish,lb,lb,ltz,ltz,ltz
Luxembourgish,Luxembourgish,lb,lb,ltz,ltz,ltz
Ganda,Ganda,lg,lg,lug,lug,lug
Limburgan,Limburgish,li,li,lim,lim,lim
Limburger,Limburgish,li,li,lim,lim,lim
Limburgish,Limburgish,li,li,lim,lim,lim
Lingala,Lingala,ln,ln,lin,lin,lin
Lao,Lao,lo,lo,lao,lao,lao
Lithuanian,Lithuanian,lt,lt,lit,lit,lit
Luba-Katanga,Luba-Katanga,lu,lu,lub,lub,lub
Latvian,Latvian,lv,lv,lav,lav,lav
Manx,Manx,gv,gv,glv,glv,glv
Macedonian,Macedonian,mk,mk,mkd,mac,mkd
Malagasy,Malagasy,mg,mg,mlg,mlg,mlg
Malay,Malay,ms,ms,msa,may,msa
Malayalam,Malayalam,ml,ml,mal,mal,mal
Maltese,Maltese,mt,mt,mlt,mlt,mlt
Maori,Maori,mi,mi,mri,mao,mri
Marathi,Marathi,mr,mr,mar,mar,mar
Marshallese,Marshallese,mh,mh,mah,mah,mah
Mongolian,Mongolian,mn,mn,mon,mon,mon
Nauru,Nauru,na,na,nau,nau,nau
Navaho,Navajo,nv,nv,nav,nav,nav
Navajo,Navajo,nv,nv,nav,nav,nav
North Ndebele,North Ndebele,nd,nd,nde,nde,nde
Nepali,Nepali,ne,ne,nep,nep,nep
Ndonga,Ndonga,ng,ng,ndo,ndo,ndo
Norwegian Bokm책l,Norwegian Bokm책l,no,nb,nob,nob,nob
Norwegian Nynorsk,Norwegian Nynorsk,nn,nn,nno,nno,nno
Norwegian,Norwegian,no,no,nor,nor,nor
Sichuan Yi,Sichuan Yi,ii,ii,iii,iii,iii
Nuosu,Sichuan Yi,ii,ii,iii,iii,iii
South Ndebele,South Ndebele,nr,nr,nbl,nbl,nbl
Occitan,Occitan,oc,oc,oci,oci,oci
Ojibwa,Ojibwa,oj,oj,oji,oji,oji
"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic","Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",cu,cu,chu,chu,chu
Oromo,Oromo,om,om,orm,orm,orm
Oriya,Oriya,or,or,ori,ori,ori
Ossetian,Ossetian,os,os,oss,oss,oss
Ossetic,Ossetian,os,os,oss,oss,oss
Panjabi,Punjabi,pa,pa,pan,pan,pan
Punjabi,Punjabi,pa,pa,pan,pan,pan
Pali,Pali,pi,pi,pli,pli,pli
Persian,Persian,fa,fa,fas,per,fas
Polish,Polish,pl,pl,pol,pol,pol
Pashto,Pashto,ps,ps,pus,pus,pus
Pushto,Pashto,ps,ps,pus,pus,pus
Portuguese,Portuguese,pt,pt,por,por,por
Quechua,Quechua,qu,qu,que,que,que
Romansh,Romansh,rm,rm,roh,roh,roh
Rundi,Rundi,rn,rn,run,run,run
Romanian,Romanian,ro,ro,ron,rum,ron
Moldavian,Romanian,ro,ro,ron,rum,ron
Moldovan,Romanian,ro,ro,ron,rum,ron
Russian,Russian,ru,ru,rus,rus,rus
Sanskrit,Sanskrit,sa,sa,san,san,san
Sardinian,Sardinian,sc,sc,srd,srd,srd
Sindhi,Sindhi,sd,sd,snd,snd,snd
Northern Sami,Northern Sami,se,se,sme,sme,sme
Samoan,Samoan,sm,sm,smo,smo,smo
Sango,Sango,sg,sg,sag,sag,sag
Serbian,Serbo-Croatian,sh,sr,srp,srp,srp
Scottish Gaelic,Scottish Gaelic,gd,gd,gla,gla,gla
Shona,Shona,sn,sn,sna,sna,sna
Sinhala,Sinhalese,si,si,sin,sin,sin
Sinhalese,Sinhalese,si,si,sin,sin,sin
Slovak,Slovak,sk,sk,slk,slo,slk
Slovene,Slovene,sl,sl,slv,slv,slv
Slovenian,Slovene,sl,sl,slv,slv,slv
Somali,Somali,so,so,som,som,som
Southern Sotho,Southern Sotho,st,st,sot,sot,sot
Spanish,Spanish,es,es,spa,spa,spa
Castilian,Spanish,es,es,spa,spa,spa
Sundanese,Sundanese,su,su,sun,sun,sun
Swahili,Swahili,sw,sw,swa,swa,swa
Swati,Swati,ss,ss,ssw,ssw,ssw
Swedish,Swedish,sv,sv,swe,swe,swe
Tamil,Tamil,ta,ta,tam,tam,tam
Telugu,Telugu,te,te,tel,tel,tel
Tajik,Tajik,tg,tg,tgk,tgk,tgk
Thai,Thai,th,th,tha,tha,tha
Tigrinya,Tigrinya,ti,ti,tir,tir,tir
Tibetan,Tibetan,bo,bo,bod,tib,bod
Turkmen,Turkmen,tk,tk,tuk,tuk,tuk
Tagalog,Tagalog,tl,tl,tgl,tgl,tgl
Tswana,Tswana,tn,tn,tsn,tsn,tsn
Tonga,Tonga,to,to,ton,ton,ton
Turkish,Turkish,tr,tr,tur,tur,tur
Tsonga,Tsonga,ts,ts,tso,tso,tso
Tatar,Tatar,tt,tt,tat,tat,tat
Twi,Twi,tw,tw,twi,twi,twi
Tahitian,Tahitian,ty,ty,tah,tah,tah
Uighur,Uyghur,ug,ug,uig,uig,uig
Uyghur,Uyghur,ug,ug,uig,uig,uig
Ukrainian,Ukrainian,uk,uk,ukr,ukr,ukr
Urdu,Urdu,ur,ur,urd,urd,urd
Uzbek,Uzbek,uz,uz,uzb,uzb,uzb
Venda,Venda,ve,ve,ven,ven,ven
Vietnamese,Vietnamese,vi,vi,vie,vie,vie
Volap체k,Volap체k,vo,vo,vol,vol,vol
Walloon,Walloon,wa,wa,wln,wln,wln
Welsh,Welsh,cy,cy,cym,wel,cym
Wolof,Wolof,wo,wo,wol,wol,wol
West Flemish,West Flemish,vls,,,,
Western Frisian,Western Frisian,fy,fy,fry,fry,fry
Xhosa,Xhosa,xh,xh,xho,xho,xho
Yiddish,Yiddish,yi,yi,yid,yid,yid
Yoruba,Yoruba,yo,yo,yor,yor,yor
Zhuang,Zhuang,za,za,zha,zha,zha
Chuang,Zhuang,za,za,zha,zha,zha
Zulu,Zulu,zu,zu,zul,zul,zul